"X","Y","Día"
376233.777015415,2164420.87391069,122
373286.432347796,2164256.98524314,123
379661.377515176,2168852.31271688,124
388854.692634588,2171021.72405023,126
373497.759936832,2164470.70369602,127
375876.633312705,2167553.08662343,140
375744.055597014,2167341.8714794,144
376073.475169395,2168209.64723598,154
404241.790801324,2195071.25477106,381
404571.72574576,2211916.38489934,381
402593.500742891,2212059.46569349,383
403576.342625854,2214279.81742622,387
404022.525596528,2213514.94036579,387
399839.851847424,2217359.76485271,391
403015.431045144,2210058.83551608,391
400714.552276255,2212282.14058546,391
403863.336997811,2213629.56259343,392
406389.635498323,2210590.79288501,396
399250.242663995,2215367.90742574,404
400869.716660378,2214024.39913797,410
399976.4872744,2215852.55817517,410
391570.514406864,2213904.29529912,420
402192.041345221,2213023.95915252,421
402439.490251164,2212582.95367298,422
401342.372672863,2212819.67222262,425
400093.930041289,2217591.9599715,426
398708.673940419,2210648.85765725,426
399480.697761138,2215022.25608522,426
400264.508080567,2204165.45572468,427
398039.180706369,2215959.05112406,428
421790.175181347,2212043.18332027,429
404742.44294201,2215518.51870837,429
402313.492447864,2212396.12351277,434
403809.936946525,2213430.02689354,435
403789.29290298,2213374.80305924,435
399924.851712719,2211902.34395971,436
401032.113986417,2212424.83633634,439
400311.45326726,2211918.58602207,443
416253.1787027,2194678.22759046,445
399048.932973787,2216734.07552118,447
400093.886417331,2211477.1234159,447
408201.355025327,2211362.07259325,448
398006.953107304,2212921.78621199,451
400980.408341469,2218177.18513432,451
396717.938188057,2211650.41139563,453
399341.910037498,2205013.07038974,453
401705.004211333,2209601.91234232,454
404639.250137872,2209905.43972585,455
401234.469396625,2212236.16129148,455
397694.908735846,2210740.82532537,456
414698.527885271,2201015.35620035,458
396847.853371302,2211010.18235551,458
396938.125107849,2211040.3948114,459
401032.49974481,2217116.24638148,459
400986.049586969,2216609.24552794,460
400764.674227235,2218043.13876123,462
396567.715351171,2211310.04477316,462
398646.183563433,2206369.76460474,463
401897.769438315,2217547.92148859,465
402250.414516561,2213069.74778216,466
396654.634868756,2212250.28266197,467
400842.047417265,2212216.85787754,467
417832.26290539,2198968.45150924,475
401303.356112981,2210535.68135942,478
399852.440170608,2214992.45513749,478
401567.987615912,2213150.42818617,479
396315.429594461,2201058.63266048,479
412651.938835137,2201698.63220255,481
401125.25909434,2211422.0852394,489
403809.683604637,2213383.91390048,490
401140.136235399,2211483.48748199,490
400696.085009254,2211587.45034577,492
399570.852256513,2199278.20586176,492
398317.763060658,2211398.18300459,492
404565.448538787,2210763.56425966,493
397635.815251047,2199590.61612295,493
402761.165517934,2205079.90585538,494
405834.40941014,2210566.09775793,499
406006.966943136,2210227.00269848,499
405812.464792606,2210809.08275118,500
400687.828673838,2212694.25035534,500
400575.734047931,2211376.00512894,501
416477.029259605,2205083.17212483,502
403544.406533551,2210062.0667144,503
395592.500907813,2212499.4550235,503
400436.382221148,2211401.39073614,503
401234.296080774,2212205.41916747,503
414996.418102013,2201284.4428314,503
414120.665358183,2209505.99143217,504
400892.716728956,2209870.87318291,504
403708.121506783,2213937.84508094,507
417769.531824399,2198612.14379321,509
404036.825024334,2216121.86409209,511
401626.86310843,2218450.22187116,511
411454.813456209,2197812.68842858,514
401987.569374592,2212834.49540617,515
398129.532509956,2216007.71411931,517
404014.482712789,2213637.95610647,519
418564.685211083,2195727.99570625,521
400740.770834975,2211267.46875631,522
400428.624682675,2211570.52211328,523
403643.010844945,2217940.94428095,526
397313.782066858,2212160.32499619,527
402827.163399364,2212795.99952093,528
403649.693580875,2212296.49428265,528
411962.252471215,2197508.87957546,529
411248.701697941,2212284.0154762,529
399667.086185306,2216616.76599058,529
412035.710634666,2197659.14791457,530
398924.86727571,2210340.17750659,531
402946.881319495,2212899.86181038,533
403732.449541255,2216246.50930736,534
402565.759074938,2212818.97195078,534
403644.006343848,2217067.83567787,535
401133.811686424,2211907.77784301,535
403772.960990991,2211459.61046092,367
395554.852936013,2173108.69772076,369
416684.237019094,2202798.08564402,371
402620.802444071,2214355.81720122,374
513251.289484951,2170911.71718281,451
513105.896041836,2170604.23302555,453
513106.008682201,2170450.54465103,453
513018.411397526,2170757.85759453,453
514037.027367078,2171680.75997325,458
405855.675420675,2217759.79410748,484
403367.608280653,2221717.7260684,510
403503.893199199,2225347.75166946,513
404348.671313611,2219483.44162257,516
404695.243363232,2222306.83589988,519
411712.361488117,2089762.93410962,370
407658.676141898,2087673.90827303,458
404962.254315845,2083928.09016601,461
403749.0107762,2087023.56594883,478
406566.465815,2087516.43262286,481
403682.525360301,2085480.81177173,483
407417.308541536,2083845.06582664,519
413085.039381184,2159353.61673206,387
406145.346993977,2159354.68131411,394
407901.170890383,2159591.53057359,402
408016.89715098,2159993.64396935,426
423482.088032725,2158869.86737102,433
412719.859113364,2159177.09038112,434
421762.463932966,2137295.03503687,435
406771.118372741,2163117.2039387,441
405200.798738101,2158763.25837404,444
403273.298246562,2159689.60913894,448
405167.511603916,2159636.48127471,453
406403.265890261,2160748.98004854,519
407574.903254197,2159623.94559944,527
408109.143321896,2133368.83814724,531
454413.963659625,2142827.27962952,386
396771.893253981,2124001.31962665,436
387483.268654171,2128015.57663381,438
401720.762489827,2124324.52237238,454
394167.554998816,2132685.178243,455
387621.385487085,2128159.2124964,495
390159.726691454,2122004.72492193,509
381087.550412762,2068528.40173096,486
385478.949677806,2064738.61171439,488
374351.885494762,2071431.06583529,497
530392.056274349,2114416.22421772,383
531817.165131962,2111372.66759207,389
410409.945647157,2103601.60138975,405
524530.917682345,2125804.506912,425
531784.842854767,2108086.91260678,448
531060.325351684,2102713.01831855,451
530332.883592232,2113094.46660724,478
531397.400936986,2110784.88554245,370
469631.313201746,2166727.64579493,365
466585.768639133,2165998.42963337,388
469630.222094179,2164363.9063298,401
466708.060579863,2165964.39030682,411
466066.559884057,2165652.06614719,420
456007.121985442,2156197.36006135,476
468007.751220481,2174325.84488198,511
521320.018110333,2127678.48038339,392
415731.191735578,2188904.4156461,399
421408.843961517,2188423.36149864,401
414883.040757134,2189215.88218892,406
415319.544585272,2189834.76437614,408
407367.038224563,2197513.95926888,411
423246.742505387,2186829.0890571,424
411837.670475016,2193525.37435288,432
416593.372017203,2186001.44903127,437
424627.463600649,2185095.5509554,440
407900.918946759,2194483.07357134,445
416324.116100157,2185679.93515261,449
406632.484435161,2199402.32878839,452
413933.819703977,2193269.17570846,454
417821.933611708,2186727.35306903,459
417480.367151352,2183362.80121801,460
424944.746328139,2185109.57703126,463
415589.55452403,2189101.83369378,469
416924.101198756,2183291.61488065,475
420948.277318859,2183011.96137952,479
421169.92051419,2183109.34700932,480
421113.29561497,2182811.4138259,482
420899.658818886,2183205.84401213,484
414171.446005092,2193679.89510712,486
423146.761122328,2183899.94233099,488
415275.74169839,2194661.36814391,490
419010.174656301,2185655.17882819,492
418414.1791574,2186420.28387055,500
405126.329179609,2201067.38524155,501
415774.469945227,2189439.10733391,507
418337.320896372,2184262.62416399,509
419769.630548171,2184984.65362545,512
425266.16783408,2183340.64629779,513
419814.356117032,2183287.55996462,516
418874.718118571,2185308.42530327,518
419989.15689831,2183323.66094671,518
423756.10273779,2185498.89894882,521
418107.224690669,2182963.34385055,373
528990.577041904,2100856.2862497,426
533185.199939348,2106196.03051329,442
525820.383827053,2101552.37175814,449
530355.713201081,2100981.41677596,459
530358.616666275,2100993.71589239,459
532248.02043217,2107273.20833095,463
454822.919456564,2126593.84033789,411
452786.702345707,2127241.39382199,422
453355.927253878,2126065.77101646,424
454279.990721492,2126641.29583698,425
455488.301484009,2127674.15526385,433
486894.103958162,2170604.23302555,390
491987.614205844,2163377.90417136,390
489135.438572036,2168574.04652703,390
469766.440138274,2169118.82807131,398
484302.744075823,2204264.70064301,399
380647.745271192,2145354.76582253,419
497903.057896891,2170599.55307148,451
491990.018692962,2168756.96700665,453
498019.755620948,2172413.06111058,453
490387.526327076,2167835.62826627,458
487039.212876773,2169897.16058929,524
412420.92351301,2098569.2577102,368
409985.091993857,2096183.29209421,386
409958.109203958,2098458.09633657,400
412927.148678162,2094896.68644457,400
411915.768080604,2102417.07133622,406
422187.602016721,2093592.27049741,411
413186.370091169,2096539.98531099,427
412990.972599346,2096033.71365986,429
415924.540078591,2094117.49769308,434
422369.565163539,2093038.22895853,442
407103.116958609,2098877.9330194,442
412837.838240313,2095810.04025223,467
408997.490717463,2090399.99352244,481
528878.96743053,2134613.85818054,366
505962.954835071,2122604.75485796,370
530647.379577145,2134650.55960907,370
518495.245087512,2135159.75664064,383
526831.791864175,2133630.22194517,384
421756.048387725,2133766.20797192,384
524877.239488634,2128771.05269174,386
526551.229518437,2133900.29462303,386
522481.954086992,2127655.28394171,388
526212.517298637,2129965.50265535,389
527555.03183227,2130118.09013659,391
520818.276436788,2135008.58174148,392
505005.388411216,2121710.04617251,403
519355.258668799,2135953.65785389,405
525984.601707981,2128077.9472828,406
526208.904012232,2132479.76015361,410
533899.19525285,2132621.53582051,410
524572.502673393,2133949.77007912,418
529393.842416897,2135641.29464179,426
531985.922318129,2130199.08699766,435
526293.476225239,2134548.46720181,443
521684.509251352,2135403.02324205,454
527602.241610279,2135564.72045967,476
529518.194555338,2130932.6106709,515
527179.061955591,2131688.17269326,517
529532.077141424,2131372.16915745,518
